Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1583.5263143171496
FDW14,OUT017,1437.2351032923427
NCN55,OUT010,575.1892002446327
FDQ58,OUT017,2496.9931889838076
FDY38,OUT027,5851.787494264409
FDH56,OUT046,1950.4111697832745
FDL48,OUT018,731.7945301085919
FDC48,OUT027,2118.5514511109
FDN33,OUT045,1532.876283033565
FDA36,OUT017,3061.3771865233375
FDT44,OUT017,1966.7906380498723
FDQ56,OUT045,1431.5048656727695
NCC54,OUT019,574.7625572999568
FDU11,OUT049,2015.9523650995584
DRL59,OUT013,819.1213800522429
FDM24,OUT049,2479.5528633552185
FDI57,OUT045,3101.9407817119086
DRC12,OUT018,3056.856955715551
NCM42,OUT027,2909.894552688332
FDA46,OUT010,508.887578658172
FDA31,OUT013,2858.0465991578485
NCJ31,OUT035,3887.7326120739563
FDG52,OUT046,743.9056681086436
NCL19,OUT019,286.68626197618437
FDS10,OUT035,3024.703973195469
FDX22,OUT010,565.4803808025159
NCF19,OUT035,743.9056681086436
NCE06,OUT046,2547.088158286202
DRC27,OUT046,3905.5522662800836
FDE21,OUT035,1950.4111697832745
NCR42,OUT019,130.63615181153364
FDX51,OUT018,3058.7447213013156
NCR06,OUT018,665.5393691501705
FDU31,OUT027,5851.787494264409
FDU59,OUT017,2556.408340609445
FDR03,OUT027,5847.296778653606
FDS49,OUT027,2061.789316402442
FDD48,OUT010,269.0896991730158
NCF18,OUT017,3056.833365732814
NCD43,OUT027,2864.4283099869026
NCD54,OUT018,2115.732075779451
FDY19,OUT010,271.4215807518282
NCY54,OUT017,2853.0689523585706
NCL19,OUT018,2470.3277290195515
FDP23,OUT010,570.6252256161268
FDC26,OUT013,1691.3160508438198
FDR14,OUT010,130.63615181153364
NCS41,OUT035,3059.5791136829685
FDF41,OUT035,3907.839287152495
FDU34,OUT046,2015.9523650995584
DRH11,OUT046,970.4554867696426
FDM03,OUT013,1583.8382731192482
