code,area,year,domestic_consumers _sales_GWh,domestic_ consumers_number_of_consumers_(thousands),commercial_and_industrial_consumers_sales_GWh,commercial_and_industrial_consumers_number_of_consumers_(thousands),all_consumers_sales_GWh,all_consumers_number_of_consumers_(thousands),sales_per_consumer_domestic_kWh,sales_per_consumer_commercial_and_industrial_kWh,
E09000001,City of London,2001,869,50,1661,3,2530,53,17282,585754,
E09000002,Barking and Dagenham,2001,961,56,339,1,1300,57,17151,538825,
E09000003,Barnet,2001,2825,118,930,4,3755,122,23964,227728,
E09000004,Bexley,2001,1615,79,1198,1,2813,80,20463,1335027,
E09000005,Brent,2001,1962,94,817,2,2779,96,20979,400457,
E09000006,Bromley,2001,2711,120,673,2,3383,123,22501,297386,
E09000007,Camden,2001,693,40,984,2,1677,42,17189,503755,
E09000008,Croydon,2001,2767,131,791,2,3558,133,21181,340135,
E09000009,Ealing,2001,2072,103,1241,2,3313,105,20159,521306,
E09000010,Enfield,2001,2159,106,836,2,2996,108,20346,443924,
E09000011,Greenwich,2001,1508,80,1060,1,2568,81,18835,812301,
E09000012,Hackney,2001,1210,73,444,1,1654,74,16580,323759,
E09000013,Hammersmith and Fulham,2001,1297,75,852,2,2149,77,17243,487872,
E09000014,Haringey,2001,1799,92,541,2,2341,94,19518,263895,
E09000015,Harrow,2001,1636,69,886,1,2522,70,23716,686116,
E09000016,Havering,2001,1726,83,347,1,2073,84,20759,313813,
E09000017,Hillingdon,2001,2136,101,1249,2,3386,103,21180,679688,
E09000018,Hounslow,2001,1533,78,1040,2,2573,79,19774,665710,
E09000019,Islington,2001,1337,81,1266,2,2603,84,16472,535019,
E09000020,Kensington and Chelsea,2001,1074,61,3498,3,4572,64,17474,1220825,
E09000021,Kingston upon Thames,2001,1100,51,292,1,1392,53,21373,267451,
E09000022,Lambeth,2001,2171,121,1192,2,3363,124,17902,491503,
E09000023,Lewisham,2001,1667,97,934,2,2601,99,17212,516525,
E09000024,Merton,2001,1459,75,654,1,2113,76,19584,445396,
E09000025,Newham,2001,1821,102,1286,2,3108,104,17831,796374,
E09000026,Redbridge,2001,2037,95,415,2,2451,97,21363,272564,
E09000027,Richmond upon Thames,2001,1853,88,768,2,2621,90,21084,330657,
E09000028,Southwark,2001,1634,99,1160,2,2794,101,16462,669077,
E09000029,Sutton,2001,1520,72,523,1,2043,74,21034,392986,
E09000030,Tower Hamlets,2001,1248,85,1177,2,2425,86,14769,652882,
E09000031,Waltham Forest,2001,1692,90,502,1,2194,92,18737,375752,
E09000032,Wandsworth,2001,1908,101,969,2,2877,104,18823,445259,
E09000033,Westminster,2001,1275,83,3311,6,4586,89,15422,545075,
E12000001,North East,2001,20199,973,13451,15,33650,988,20766,871759,
E12000002,North West,2001,53269,2642,42929,50,96198,2692,20159,860548,
E12000003,Yorkshire and the Humber,2001,37276,1900,32682,35,69957,1935,19614,937712,
E12000004,East Midlands,2001,30446,1529,22970,26,53416,1556,19907,869410,
E12000005,Wes tMidlands,2001,37667,1906,29924,35,67591,1941,19766,856128,
E12000006,East,2001,35731,1774,23505,33,59237,1807,20144,706349,
E12000007,London,2001,55279,2851,33836,65,89115,2916,19392,516584,
E12000008,South East,2001,57589,2805,33502,61,91091,2867,20529,545900,
E12000009,South West,2001,27900,1508,18225,28,46126,1536,18506,643749,
W92000004,Wales,2001,18760,977,26849,15,45609,992,19202,1789933,
S92000003,Scotland,2001,34492,1625,30650,32,65142,1657,21226,957813,
K03000001,Great Britain,2001,408608,20490,308524,397,717132,20887,19942,777139,
E09000001,City of London,2002,840,49,1767,3,2607,51,17258,630525,
E09000002,Barking and Dagenham,2002,989,57,311,1,1300,57,17438,463817,
E09000003,Barnet,2002,2830,117,1036,4,3866,121,24184,250113,
E09000004,Bexley,2002,1661,81,1258,1,2919,81,20625,1398598,
E09000005,Brent,2002,1887,89,810,2,2697,91,21205,429107,
E09000006,Bromley,2002,2687,119,722,2,3409,121,22656,322532,
