Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1681.1007471379708
FDW14,OUT017,1060.0803111426071
NCN55,OUT010,1794.1143451568798
FDQ58,OUT017,1826.2362972875048
FDY38,OUT027,5201.157223932505
FDH56,OUT046,2206.7303874250338
FDL48,OUT018,1122.0893736326407
FDC48,OUT027,2852.4292431282593
FDN33,OUT045,1537.970335474194
FDA36,OUT017,2884.544760972247
FDT44,OUT017,1616.7278359684635
FDQ56,OUT045,1439.8318257898247
NCC54,OUT019,2437.169440556483
FDU11,OUT049,2092.4791219596364
DRL59,OUT013,824.3874485635981
FDM24,OUT049,2364.7612593688455
FDI57,OUT045,3116.0248147446973
DRC12,OUT018,3234.776086610397
NCM42,OUT027,3271.84705502236
FDA46,OUT010,1257.0380791925377
FDA31,OUT013,2628.1433896770313
NCJ31,OUT035,3595.4062615284356
FDG52,OUT046,878.0100024638075
NCL19,OUT019,627.7635689258865
FDS10,OUT035,2633.3956181711064
FDX22,OUT010,1827.352017408111
NCF19,OUT035,816.2090779675473
NCE06,OUT046,2812.0480199023878
DRC27,OUT046,4163.489558154953
FDE21,OUT035,1775.4026498331482
NCR42,OUT019,-928.534888071825
FDX51,OUT018,3425.9848717794375
NCR06,OUT018,897.8689530499056
FDU31,OUT027,5092.816329265439
FDU59,OUT017,2346.4344475038397
FDR03,OUT027,4497.9007621539195
FDS49,OUT027,2633.946687527139
FDD48,OUT010,136.36375864978942
NCF18,OUT017,2953.106609343784
NCD43,OUT027,3136.4569933213024
NCD54,OUT018,2554.238447136584
FDY19,OUT010,151.89305872027518
NCY54,OUT017,2530.1508374793266
NCL19,OUT018,2437.00679811406
FDP23,OUT010,1660.5358002985158
FDC26,OUT013,1637.811048161451
FDR14,OUT010,-810.8516205468866
NCS41,OUT035,2622.7450967432787
FDF41,OUT035,3861.7962844098956
FDU34,OUT046,2062.0560017450352
DRH11,OUT046,1249.6254137121136
FDM03,OUT013,941.2069213770499
FDS31,OUT017,2256.771175514659
FDJ20,OUT017,1923.457470286811
FDV44,OUT027,4445.077513162877
FDG02,OUT049,3109.760151204652
FDA09,OUT013,2615.268775541297
FDT04,OUT013,175.5366277462935
FDL58,OUT019,2675.8467818041963
FDE52,OUT045,1298.7179127651145
FDW12,OUT035,2265.3487738594595
FDL51,OUT017,3327.73266446429
NCY42,OUT027,3783.6161054092227
FDR07,OUT017,1487.2134868124224
FDN40,OUT045,2175.1328564661317
FDB35,OUT027,3085.316211888746
FDA22,OUT017,2320.9836119065512
NCL06,OUT046,4301.783979457154
FDI35,OUT013,2663.5729908073145
NCW42,OUT045,3523.4912110006426
NCX06,OUT049,3024.751899674872
FDC37,OUT027,3325.1593531473654
FDZ14,OUT018,2294.336385405203
DRG49,OUT049,4050.731212923488
NCG06,OUT045,4022.8262869366226
DRC36,OUT045,2896.8569086148846
FDV21,OUT019,338.30025517828034
FDB53,OUT046,2342.6929558228
DRP47,OUT019,2388.430533837332
FDA14,OUT013,2039.0598513832385
DRC24,OUT035,2419.3606748267684
FDW21,OUT018,1682.9642577231803
NCH29,OUT046,1629.1541143801041
FDU58,OUT013,2795.7455559644304
FDY27,OUT017,2383.5633268776273
FDV56,OUT035,1761.1600645505919
FDT59,OUT046,3812.8302561323717
FDB23,OUT046,3792.389923004528
FDR49,OUT045,640.9528597020385
FDB03,OUT010,2151.8955056737714
FDN39,OUT045,2667.513830193633
FDX02,OUT027,4900.1775667129405
FDQ16,OUT027,3235.0872287749708
